path,split_original,class,hash,duplicate_group_id,is_duplicate,kept,subset,fold
data\Split_smol\train\Squamous cell carcinoma\ISIC_0027700.jpg,train,Squamous cell carcinoma,0723a0481d4610c56f73f2ccc86327974a09cac1f1f9518deef1cd3be5291fdd,,False,True,trainval,0
data\Split_smol\val\Tinea Ringworm Candidiasis\aug_0_f017-012-9780323244756.jpg,val,Tinea Ringworm Candidiasis,1b13a5945cafa66d673cc03a9af7e857eb010ff2446c7d9330c518939c004bfc,,False,True,trainval,2
data\Split_smol\train\Dermatofibroma\ISIC_0024845.jpg,train,Dermatofibroma,9fea7c101eae9dd87a65c84bc98ef3731e46852c97e9a6690cdcd4d2bbe802f6,,False,True,trainval,2
data\Split_smol\train\Squamous cell carcinoma\ISIC_0029043.jpg,train,Squamous cell carcinoma,55d221f67609bcbad66e1d6670501bb06ebfceee18e2ce794531835af00e82b1,,False,True,trainval,3
data\Split_smol\val\Melanocytic nevus\ISIC_0000065_downsampled.jpg,val,Melanocytic nevus,948f5b6f3b29363e4f88e1117606c0794a5dcd4bb467096baca787eb11dacbe9,,False,True,trainval,0
data\Split_smol\val\Melanoma\ISIC_0000554.jpg,val,Melanoma,ea099cea060c2cfa503acafbb8559d4248c7d339039f50fdd555ac6b95086b74,,False,True,trainval,2
data\Split_smol\train\Melanocytic nevus\ISIC_0000132_downsampled.jpg,train,Melanocytic nevus,8ec10df8ff3ebf1b4faf49acc574ab5c03684f3fa3415bf12bfe3265b8f3ded5,,False,True,trainval,3
data\Split_smol\val\Benign keratosis\ISIC_0014633_downsampled.jpg,val,Benign keratosis,4d06201f4111b2c90ead39789ffb8f8e44c162a4673eaa0da641047547fa88b0,,False,True,trainval,4
data\Split_smol\train\Actinic keratosis\ISIC_0026702.jpg,train,Actinic keratosis,9ef32279285ee53718f98a2eb1d7e488459e7ac6245a1ddd9b3c167715b483e2,,False,True,trainval,1
data\Split_smol\train\Vascular lesion\ISIC_0029889.jpg,train,Vascular lesion,16ec7e11daf61484904baffecd718be2fb5de1b5f56d2484677d590b5869dbb4,,False,True,trainval,4
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_Ringworm-The-identifying-ring-shaped-rash-2486729.jpg,train,Tinea Ringworm Candidiasis,df3302269415544b8ee455bf16582cfd36430371b1fdd7970127855eaae7f0a7,,False,True,trainval,1
data\Split_smol\val\Squamous cell carcinoma\ISIC_0026522.jpg,val,Squamous cell carcinoma,b642c5165cce2ea6e1b73dcdab5c674a741cc3c3259a93e4768308d744622ecf,,False,True,trainval,4
data\Split_smol\val\Squamous cell carcinoma\ISIC_0026327.jpg,val,Squamous cell carcinoma,2c63baf5bbe234cae98cc2752b5d409fc5020d8c23d038fc01c40b87e0986174,,False,True,trainval,0
data\Split_smol\train\Melanoma\ISIC_0000297.jpg,train,Melanoma,a7fd5964526e4ce57e7d23804e03d336a0efea5652bae6f88e21239dca4d5ed0,,False,True,trainval,0
data\Split_smol\train\Vascular lesion\ISIC_0026336.jpg,train,Vascular lesion,5b6ad9fb7268599e0b5e9883ddce59f0315965203df60ce7f9a7c5960e47cfe3,,False,True,trainval,4
data\Split_smol\train\Benign keratosis\ISIC_0014644_downsampled.jpg,train,Benign keratosis,f35078f71a5d6b35e4dab25abb13a2558cedca10765839e02eea01f8dc72aae8,,False,True,trainval,1
data\Split_smol\train\Atopic Dermatitis\1_73.jpg,train,Atopic Dermatitis,54ed173be54af83a012cd4b5b8d376edb813131b89ee955d135202911738103e,,False,True,trainval,0
data\Split_smol\train\Melanoma\ISIC_0000445_downsampled.jpg,train,Melanoma,aa496e032226f311bdcebe03858ed7959c0de492befadb8ede0b519e9d48f440,,False,True,trainval,1
data\Split_smol\val\Melanocytic nevus\ISIC_0000019_downsampled.jpg,val,Melanocytic nevus,404adf4f4f7a70103a073b2dbd0d5a09c1e911d8b1b323ac9f0c326735542ce1,,False,True,trainval,2
data\Split_smol\train\Dermatofibroma\ISIC_0028880.jpg,train,Dermatofibroma,fe445a014538bc2f628823f819955f83f6c707fb1dd2a905855d2e158edeb69c,,False,True,trainval,2
data\Split_smol\val\Melanoma\ISIC_0001100_downsampled.jpg,val,Melanoma,58d8ad7d3eebca1daa74c986015b2490f056de4b7374d6923f47ba51ca99c7a2,,False,True,trainval,0
data\Split_smol\train\Benign keratosis\ISIC_0015044_downsampled.jpg,train,Benign keratosis,dd44969150681707e23ba2efe8483110cbbc3ab78db2ca59597064b7b00774c1,,False,True,trainval,0
data\Split_smol\train\Vascular lesion\ISIC_0031215.jpg,train,Vascular lesion,fda157e56a20826b74a7cabf6820697348148a7e528e81e12b40383fde62f018,,False,True,trainval,4
data\Split_smol\val\Melanoma\ISIC_0000166.jpg,val,Melanoma,d3e38c6790c5dc7c91d2371e972de07e12d8784aa44a220b8e331d657a555dc7,,False,True,trainval,1
data\Split_smol\val\Dermatofibroma\ISIC_0027626.jpg,val,Dermatofibroma,bf1055a7f3a4a19040eb0b089ac296d3140bcc1cfadc3a97f6891a47673d5d3e,,False,True,trainval,1
data\Split_smol\train\Melanoma\ISIC_0000487.jpg,train,Melanoma,0883b1205d5581b01216535cd74ccac73e3e41f51284241817f4e28f6484a818,,False,True,trainval,3
data\Split_smol\val\Melanoma\ISIC_0011112.jpg,val,Melanoma,d47f5ba6fb4c74d69d22c5c9f1fcf25e04f6b3208de4596811637661532f109e,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000307.jpg,train,Melanoma,05cf7c78d6b8ca57cf906a243b9c60d3f4fe275df5d74f8f35ade32085e65bd6,,False,True,trainval,1
data\Split_smol\train\Melanocytic nevus\ISIC_0000059_downsampled.jpg,train,Melanocytic nevus,4a6be003a155c46c64de6707e32de1b50025c7cad5d79468bc3318cc59bfe42f,,False,True,trainval,2
data\Split_smol\val\Benign keratosis\ISIC_0014603_downsampled.jpg,val,Benign keratosis,a74da2949445bd523b9ddfdf454be002e89873b195bcbec04627375c2e93ca7e,,False,True,trainval,4
data\Split_smol\train\Melanocytic nevus\ISIC_0000130_downsampled.jpg,train,Melanocytic nevus,c274e351e342087e85502b33bb6da7d3ccf31876d743323a8131a4e54787ca8d,,False,True,trainval,1
data\Split_smol\train\Squamous cell carcinoma\ISIC_0024575.jpg,train,Squamous cell carcinoma,7bac6ae95176bfd24b40af92aeb1fab17999f511ad742cdc81cb2f936747ccb4,,False,True,trainval,0
data\Split_smol\train\Melanoma\ISIC_0000278.jpg,train,Melanoma,e8ea322e1188e00fe9aac213e44831b80552d92d1ce313dd5f1859a0de2d485e,,False,True,trainval,3
data\Split_smol\train\Benign keratosis\ISIC_0014587_downsampled.jpg,train,Benign keratosis,9c9c240769bb6414efa2d031c8cbe888bfcc13505440691075247efb22c272fe,,False,True,trainval,0
data\Split_smol\train\Atopic Dermatitis\2_10.jpg,train,Atopic Dermatitis,1b0d5fc8e017f53d390e5ff958e008de2885a10a69a693678ac307de313eaa23,,False,True,trainval,3
data\Split_smol\train\Vascular lesion\ISIC_0025244.jpg,train,Vascular lesion,a9d38c52aa3b0bfdfad36c571c1067fdb4e8b5f32ad5f85ea399d403844b1cb1,,False,True,trainval,0
data\Split_smol\train\Actinic keratosis\ISIC_0028941.jpg,train,Actinic keratosis,998886b32975190e0a911d417ad5dcb8fdef0b09d0686119b4ef7626432ef96c,,False,True,trainval,1
data\Split_smol\train\Vascular lesion\ISIC_0026467.jpg,train,Vascular lesion,68984a4b470f43f2282e4592cdb612087b8b4300e16e2b5578b4e9c7f070a614,,False,True,trainval,1
data\Split_smol\val\Melanoma\ISIC_0000175.jpg,val,Melanoma,6596157617d012d21a870e4f1a54a245375dc30a6d6648e40244760f0cd556d6,,False,True,trainval,1
data\Split_smol\train\Vascular lesion\ISIC_0031901.jpg,train,Vascular lesion,836a77b108a1e7e582efa9af0c75bc0fb8c430361df2929746de512823d2fad0,,False,True,trainval,0
data\Split_smol\train\Melanocytic nevus\ISIC_0000052_downsampled.jpg,train,Melanocytic nevus,b19659021b1ee4eef987e4859fcf9bfd2f9716f8361fa717ed7b5846bd4a9644,,False,True,trainval,4
data\Split_smol\train\Atopic Dermatitis\1_30.jpg,train,Atopic Dermatitis,61063e5e2425b3c4af9d4e8a3fbc48b9403bb3cf290864325a9b419e0e715ee1,96.0,False,True,trainval,1
data\Split_smol\train\Squamous cell carcinoma\ISIC_0026203.jpg,train,Squamous cell carcinoma,65150c7c8793a10ad74910adfe883fce1a3d1c9b9c0caa9fdd6985f65293303e,,False,True,trainval,1
data\Split_smol\train\Vascular lesion\ISIC_0031090.jpg,train,Vascular lesion,02f7800eea98c00e27e31b7a1f0dde7884c1b1c515b265501fa630c86e6bcb54,,False,True,trainval,1
data\Split_smol\train\Squamous cell carcinoma\ISIC_0028816.jpg,train,Squamous cell carcinoma,807ed38e850d26eab670bcc58df35326caa3159dac65e7934879710e79138369,,False,True,trainval,0
data\Split_smol\train\Atopic Dermatitis\2_20.jpg,train,Atopic Dermatitis,e5c87cc5ae285618f34e8d742f586f1ca9b6c6ccd9b49e2a4c1a09ff9e5b6248,,False,True,trainval,2
data\Split_smol\train\Actinic keratosis\ISIC_0031108.jpg,train,Actinic keratosis,e633cf59334a9a0b58106fa44ca4a01a6b96c3978eb00ec7deaee8547190108c,,False,True,trainval,4
data\Split_smol\train\Actinic keratosis\ISIC_0026625.jpg,train,Actinic keratosis,925f8c81ceb5fc5ca23c82435f4c0bfb3ac50e3c40caa3e4fe78c388ddbeebe3,,False,True,trainval,3
data\Split_smol\train\Dermatofibroma\ISIC_0029248.jpg,train,Dermatofibroma,b2b6db34e00d75394368837d5af00ba28022e4d5a47f352c5b76e7cc25bb516c,,False,True,trainval,2
data\Split_smol\train\Benign keratosis\ISIC_0014599_downsampled.jpg,train,Benign keratosis,2af0e1904194b2dc69f6b5ce2f6b390f371e866e897da6f79c039c6ca929951a,,False,True,trainval,1
data\Split_smol\val\Dermatofibroma\ISIC_0031443.jpg,val,Dermatofibroma,fe4e4b8cd7ea25bd477b1210e60f6b38d5accd8835b4d41101ab59d042d131cf,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000167.jpg,train,Melanoma,322d7fa625f1ce0d997816371f60bcaf3001b41ce5f2fcbc2124b750a032c823,,False,True,trainval,3
data\Split_smol\train\Melanoma\ISIC_0000165.jpg,train,Melanoma,3921c1abc4689e91e4d18d52564cca8511110eded0f7cb3b4504d195ff860f0a,,False,True,trainval,0
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_11046_2008_9101_Fig2_HTML.jpg,train,Tinea Ringworm Candidiasis,782268de2c7f8ac6af7c738faaee2f5ffd0f8710115a32e7b9a35883065247b9,,False,True,trainval,0
data\Split_smol\train\Vascular lesion\ISIC_0030882.jpg,train,Vascular lesion,2efe2dfbeb7fa471768c66893628c1512319e3d5d0da52a313633ffdd7cc56e0,,False,True,trainval,2
data\Split_smol\train\Dermatofibroma\ISIC_0032468.jpg,train,Dermatofibroma,9fca2d5036ce83ba06b88be551f716f4857d846a82800d821c4fbab0d956004b,,False,True,trainval,4
data\Split_smol\train\Melanocytic nevus\ISIC_0000039_downsampled.jpg,train,Melanocytic nevus,8b7539efe25bbe74707ad0913e0a0b844c6f9bfe81415b4881ff4d30363487ed,,False,True,trainval,1
data\Split_smol\train\Vascular lesion\ISIC_0028885.jpg,train,Vascular lesion,ff35439c212aff95c48c85501cce1a475f11efa4f3ae38e2f2cfbf6fe33ae742,,False,True,trainval,2
data\Split_smol\train\Dermatofibroma\ISIC_0029177.jpg,train,Dermatofibroma,d40e71556a434b0219182aa79dcc5d7f4dead88820a0f2a33e2aa01110cc7035,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000159.jpg,train,Melanoma,9db233afe7f71c6dd431acf1994c4d56c4ac5687d8740be7d1810f4eb3db34b6,,False,True,trainval,2
data\Split_smol\train\Dermatofibroma\ISIC_0031735.jpg,train,Dermatofibroma,b7c39e0fa8838878cad142b29af2ad36cd295ad6378f5591ef2cbc1fc352becd,,False,True,trainval,1
data\Split_smol\train\Atopic Dermatitis\1_32.jpg,train,Atopic Dermatitis,53e6793a95c03ed34386913c69b527a8ac6c744ae2185004260925f62f22a7e6,,False,True,trainval,1
data\Split_smol\train\Actinic keratosis\ISIC_0029141.jpg,train,Actinic keratosis,868eb9c88ce58dd21794afe7f4b9c8cfe03b10803b0fe9137c6fc9960df0de93,,False,True,trainval,0
data\Split_smol\val\Dermatofibroma\ISIC_0024330.jpg,val,Dermatofibroma,4f48c96f912e0675d00f57e107489e555a90bb04aef13e34fb8f0f6f620b4dc5,,False,True,trainval,2
data\Split_smol\val\Benign keratosis\ISIC_0015220_downsampled.jpg,val,Benign keratosis,e73ed4fee7bf17678ddf6dc78cfe3b81970dafc48e55e05aac4337ebe52f8a26,,False,True,trainval,0
data\Split_smol\train\Vascular lesion\ISIC_0026490.jpg,train,Vascular lesion,1f9391f8cd49e1518e48e493a00169df2721b2d0dd2090db58f33842d71a08c3,,False,True,trainval,3
data\Split_smol\train\Vascular lesion\ISIC_0026693.jpg,train,Vascular lesion,c9eb9eae9f81621bc34b8e7f403316be2e83faefc8512f5974b714a5c6741d42,,False,True,trainval,4
data\Split_smol\train\Benign keratosis\ISIC_0014770_downsampled.jpg,train,Benign keratosis,260b8323b5acc26767788a66b604c1b27acf6e9db94585f17af23d6cafe426cf,,False,True,trainval,3
data\Split_smol\val\Actinic keratosis\ISIC_0027896.jpg,val,Actinic keratosis,6c5a260fc18e56a1dd431f88e7e093886f9e697bedf49f6e80822f16ed3704de,,False,True,trainval,3
data\Split_smol\val\Squamous cell carcinoma\ISIC_0025712.jpg,val,Squamous cell carcinoma,d95e6ff954e60a6eb5a82197d1fe7580d401b9f982956c51181f9f59c1c7959a,,False,True,trainval,0
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_Screenshot 2021-09-14 112815.png,train,Tinea Ringworm Candidiasis,f26eb5d1dbb43e0dd4bc4450c0a320320527b6fd0da3c5727a0b313717f32059,,False,True,trainval,1
data\Split_smol\train\Squamous cell carcinoma\ISIC_0028644.jpg,train,Squamous cell carcinoma,5fcee17c7f7be3d4e1ef09b936704dfdf6d1efb5b510ecda3b95f3117f85d93f,,False,True,trainval,1
data\Split_smol\val\Dermatofibroma\ISIC_0025154.jpg,val,Dermatofibroma,70da163ab49eb3f9b4855e37cd423e8d29531cac160f2f9e6142bbfb84781317,,False,True,trainval,3
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_Screenshot 2021-09-14 112937.png,train,Tinea Ringworm Candidiasis,3461381378b43fe3dd85743466f3e2ca2f4a8c3027a40aaa6b196d0efa3e09bf,,False,True,trainval,1
data\Split_smol\train\Squamous cell carcinoma\ISIC_0024372.jpg,train,Squamous cell carcinoma,50f400e660ef3c6f73515ddb1698a57df19bcb09ac683274865c24ea9698da56,,False,True,trainval,2
data\Split_smol\train\Benign keratosis\ISIC_0014571_downsampled.jpg,train,Benign keratosis,9684e02aa23d33e1d93ac8f3878951bd8dce6c982f34ed8162512e9e42d76fd6,,False,True,trainval,2
data\Split_smol\train\Benign keratosis\ISIC_0014618_downsampled.jpg,train,Benign keratosis,5e7a63bb94a3b54180b98368d59407abfe2c1c7c8f5cc12203346181bc51dd38,,False,True,trainval,2
data\Split_smol\train\Benign keratosis\ISIC_0014615_downsampled.jpg,train,Benign keratosis,cee954e0a325472ae39f36d5de750303460242239921e9df099f49af77fb58c6,,False,True,trainval,2
data\Split_smol\train\Squamous cell carcinoma\ISIC_0025471.jpg,train,Squamous cell carcinoma,646853b8a4b931a3c6aa6830f415fcd903553b70244ff3f2369ad3ebd47efa70,,False,True,trainval,1
data\Split_smol\train\Squamous cell carcinoma\ISIC_0026927.jpg,train,Squamous cell carcinoma,b28e9355b933e1575f2c7a1bece8089b52539f983acf117e9d1dbfc507d98c58,,False,True,trainval,2
data\Split_smol\train\Benign keratosis\ISIC_0014616_downsampled.jpg,train,Benign keratosis,b6d427e1b6ce6792f5ac1e225701f859cdcc9e89114705c6a0b4473128cf9012,,False,True,trainval,4
data\Split_smol\train\Melanocytic nevus\ISIC_0000104_downsampled.jpg,train,Melanocytic nevus,87ab73fbac09376a09414699e8448c7b811382bbd685d74e4e44e9d3365dd671,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000036_downsampled.jpg,train,Melanoma,b86fe44f1b760005386242aaf9eb9c953bc7f0ed0de42c76ed0dd5e793f2bdd6,,False,True,trainval,0
data\Split_smol\train\Melanoma\ISIC_0000303.jpg,train,Melanoma,54b6516d7604a1d29e8807b33bcfa72cb4fd96bca8d57bbafb4aec5cc201dff0,,False,True,trainval,2
data\Split_smol\train\Benign keratosis\ISIC_0014620_downsampled.jpg,train,Benign keratosis,4c30db1483a043d999f66140125c5538f1721b34572604b42b4f32cf03f5904f,,False,True,trainval,3
data\Split_smol\train\Actinic keratosis\ISIC_0025953.jpg,train,Actinic keratosis,5c988e95d4109bfe1559c9885ba6eed71a580963cb8208b7508d9e668653f5aa,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000415_downsampled.jpg,train,Melanoma,654f81030a6e91852e6deccac92fa759e8feff0e196326d2d641b288e2fb28f7,,False,True,trainval,4
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_afp20141115p702-f1.jpg,train,Tinea Ringworm Candidiasis,c54ecfebd66391d7620760762cd86e45e7ba74d29870a8a17a7e40804dcbfe43,,False,True,trainval,3
data\Split_smol\train\Vascular lesion\ISIC_0029404.jpg,train,Vascular lesion,01dffca598641c0c698178fad86eb199782a504f8459a86a1d1d661aa614696f,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000156_downsampled.jpg,train,Melanoma,fd0532b5330b6a8a124615d6d7b113f553d84724bd82730c769241ddfd25f381,,False,True,trainval,3
data\Split_smol\val\Actinic keratosis\ISIC_0026194.jpg,val,Actinic keratosis,6b7a97fc2204fa3e5c4a5d07f935f743d5d4a22a6af06cdb49f345dcf0e1060a,,False,True,trainval,3
data\Split_smol\train\Benign keratosis\ISIC_0014819_downsampled.jpg,train,Benign keratosis,26c87e252a998da552b6a55fa3f9fbccda0ed1e04d6b9ca051beb135c379c706,,False,True,trainval,3
data\Split_smol\train\Dermatofibroma\ISIC_0032138.jpg,train,Dermatofibroma,c5b793ef2dab221183c3aa4382d68067c8755d52069f9547758bddb7c7b98141,,False,True,trainval,4
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_Direct-microscopic-examination-revealed-endothrix-infection-with-chains-of-conidia-in-and_Q320.jpg,train,Tinea Ringworm Candidiasis,aa43d222155fe335b3773f48685662a8d7d298f5f229ba9544ff5b97e51d139b,580.0,False,True,trainval,1
data\Split_smol\train\Melanoma\ISIC_0000393_downsampled.jpg,train,Melanoma,d612b881b73d3c996adc32311b436dd2e13adc3eb8adcde3e6d1990dcac69016,,False,True,trainval,2
data\Split_smol\train\Squamous cell carcinoma\ISIC_0025069.jpg,train,Squamous cell carcinoma,67c942e1705de0ba76eeda67c29e061c9e28a9efa49e66e4ee12c1445e1a0324,,False,True,trainval,2
data\Split_smol\val\Melanocytic nevus\ISIC_0000058_downsampled.jpg,val,Melanocytic nevus,4815177a2108f2c38ef7de5c8e166ddcf5e0def7ff1ec59ec5f41ebc56209741,,False,True,trainval,3
data\Split_smol\train\Dermatofibroma\ISIC_0025594.jpg,train,Dermatofibroma,1e005f4251ecb20b5397ebb806a0290d6b2ec7a42dbeb9a577df37714191389e,,False,True,trainval,0
data\Split_smol\train\Vascular lesion\ISIC_0031950.jpg,train,Vascular lesion,f429d323a3e75f0c4c97c4109c80d754e8eb8afddc12637e58f27aea2c27ea0f,,False,True,trainval,3
data\Split_smol\train\Tinea Ringworm Candidiasis\aug_0_Screenshot 2021-09-14 112150.png,train,Tinea Ringworm Candidiasis,579e1569a171b7126a9ae1e8ba00c3b9419eef2c25d1f83d0a30cfa43d7e1488,,False,True,trainval,3
data\Split_smol\val\Squamous cell carcinoma\ISIC_0027303.jpg,val,Squamous cell carcinoma,098bb58b982c7fa63dfcb46d5e591d47091ad857c6f607802d5b246b79049bd8,,False,True,trainval,3
data\Split_smol\train\Melanoma\ISIC_0000281.jpg,train,Melanoma,ba7a0b389c10fd38345643947f084fe6020f2c254d7973682b8a202db6552d8c,,False,True,trainval,2
data\Split_smol\train\Atopic Dermatitis\1_53.jpg,train,Atopic Dermatitis,71eb17b26df3a2c4d62a432f53275afc6026743ed4a1ba893acfe0de29712a1e,,False,True,trainval,2
data\Split_smol\train\Dermatofibroma\ISIC_0025622.jpg,train,Dermatofibroma,b08a87f0f99dbca28568b4db108427575d5b1f5d413b07df5c45f36d6a9a6e00,,False,True,trainval,1
data\Split_smol\train\Dermatofibroma\ISIC_0031344.jpg,train,Dermatofibroma,a6476e8a0eaa3f6ee37100e524017bdbf72367a2be193c1ce53588032dbe8825,,False,True,trainval,0
data\Split_smol\train\Melanocytic nevus\ISIC_0000095_downsampled.jpg,train,Melanocytic nevus,1dd64f238550b8a5ede207b8fcfc8553a65e6aefe395659a28fa600d6e7109fe,,False,True,trainval,1
data\Split_smol\train\Melanocytic nevus\ISIC_0000069.jpg,train,Melanocytic nevus,469cb7a1a7fd4135d676daad01d6dcf7dbe2db06eb7bacfb6b3a1677ba811ac1,,False,True,trainval,2
data\Split_smol\train\Actinic keratosis\ISIC_0030655.jpg,train,Actinic keratosis,f9fb73850161ae8b0021b05edc7971124fe11df647061b308c7ce7746b2bf4b6,,False,True,trainval,1
data\Split_smol\train\Actinic keratosis\ISIC_0024800.jpg,train,Actinic keratosis,3fe366c5a20e94b44fa6fe9bf5a4d9b3e961d808ee39875a3de468e3faef51d9,,False,True,trainval,1
data\Split_smol\val\Vascular lesion\ISIC_0032545.jpg,val,Vascular lesion,92bf4b0e9e85017ed5860e3687ae4a43d4ea01dae08c5b230f8b0664dc3c194d,,False,True,trainval,3
data\Split_smol\train\Vascular lesion\ISIC_0025250.jpg,train,Vascular lesion,59ce6adfd6447cff13cc66765788fb7044018b1323d6dea9050c7d286beeed4c,,False,True,trainval,3
data\Split_smol\train\Actinic keratosis\ISIC_0024948.jpg,train,Actinic keratosis,769d0f6a355dda072c4ccefae2f2ef72d86280ed26837789f8aaf6c02a976428,,False,True,trainval,4
data\Split_smol\train\Actinic keratosis\ISIC_0025780.jpg,train,Actinic keratosis,165e9b178d87f9712f9e2ceb65290070018e576f19a698cfbeae55da1db9da88,,False,True,trainval,0
data\Split_smol\train\Melanocytic nevus\ISIC_0000073.jpg,train,Melanocytic nevus,6ef968cb1a0ab6a8f9461ba2ab608b44ca868293e37487f85fd7cf5e96cda26b,,False,True,trainval,3
data\Split_smol\train\Atopic Dermatitis\2_27.jpg,train,Atopic Dermatitis,7490b95ee8eeaccde96bfc7f7b434880356995c23ccb10855b0b97e1b1db1f86,,False,True,trainval,1
data\Split_smol\train\Actinic keratosis\ISIC_0031430.jpg,train,Actinic keratosis,e748ddac86a8d18fd9ee96ad4a1321871113dc9fa92c4ec319f3a86a2da3df1f,,False,True,trainval,4
data\Split_smol\train\Dermatofibroma\ISIC_0029891.jpg,train,Dermatofibroma,3bee381fe572ba2f0c2c3c6e350df0f9efa19d0df789851c0ecba14751fbc17b,,False,True,trainval,3
data\Split_smol\val\Melanocytic nevus\ISIC_0000097_downsampled.jpg,val,Melanocytic nevus,8e4fa536b949755a60ec08fc5e4ab646cbedc151491bcbc26fba6e37977900ab,,False,True,trainval,3
data\Split_smol\train\Benign keratosis\ISIC_0014601_downsampled.jpg,train,Benign keratosis,26a0a8e246ee851ddc4b5e0fa662fa2f61ec6ecae30723a619c9a4bb7b4914f4,,False,True,trainval,1
data\Split_smol\train\Atopic Dermatitis\1_59.jpg,train,Atopic Dermatitis,9d86c326d837884c35b03baaded3414b8db0610129888d7a9156d28a6fd94982,,False,True,trainval,3
data\Split_smol\train\Atopic Dermatitis\2_4.jpg,train,Atopic Dermatitis,5bd110c763301517133a52c3ffbe505d61f30d7349e7dac6e7ae23325795ac0a,,False,True,trainval,3
data\Split_smol\train\Squamous cell carcinoma\ISIC_0025808.jpg,train,Squamous cell carcinoma,f434411d63bdceefc75842d3ab2cd2f7a43f3b26c510498ecc126129ce130559,,False,True,trainval,2
data\Split_smol\train\Squamous cell carcinoma\ISIC_0024522.jpg,train,Squamous cell carcinoma,745cb0c7f4c76a3d29db5917159cd74986fa8df92617399fddd876ae001d35c6,,False,True,trainval,1
data\Split_smol\train\Actinic keratosis\ISIC_0030133.jpg,train,Actinic keratosis,2e6871a00f3b7ec3a5b513d02934d8f9fcf4c792cc2da1e1f5d0247b5bc6c8a4,,False,True,trainval,0
data\Split_smol\train\Squamous cell carcinoma\ISIC_0025831.jpg,train,Squamous cell carcinoma,37dbfa394b3a1211b24cceb43abcdbeeca67efc0cb48209e36f7f943f96848b9,,False,True,trainval,0
data\Split_smol\train\Melanoma\ISIC_0000292.jpg,train,Melanoma,2ffd4622e790158c3bfd61b1f50ac288d6d6f403f6732252cce83535b4ae355e,,False,True,trainval,2
data\Split_smol\train\Melanoma\ISIC_0000029_downsampled.jpg,train,Melanoma,1e61f7cc78d4e8a68f62e42173fe162d6719a8a07b7a79eb1893521b64691d8d,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000277.jpg,train,Melanoma,40fb8ebeb91c0159567c922049aa8c1269d40fbcc895ac0883c85b3aa7380c6c,,False,True,trainval,1
data\Split_smol\train\Actinic keratosis\ISIC_0029830.jpg,train,Actinic keratosis,7f3108287d6baeedf8797302b1001e252fb2a80dc3522cd34e41e30bce95353d,,False,True,trainval,3
